emailbomber.py:1:1: E265 block comment should start with '# '
emailbomber.py:3:1: F401 'os.access' imported but unused
emailbomber.py:5:69: E261 at least two spaces before inline comment
emailbomber.py:5:70: E262 inline comment should start with '# '
emailbomber.py:5:80: E501 line too long (84 > 79 characters)
emailbomber.py:7:1: E265 block comment should start with '# '
emailbomber.py:8:40: E261 at least two spaces before inline comment
emailbomber.py:8:41: E262 inline comment should start with '# '
emailbomber.py:8:80: E501 line too long (103 > 79 characters)
emailbomber.py:9:80: E501 line too long (177 > 79 characters)
emailbomber.py:9:105: E261 at least two spaces before inline comment
emailbomber.py:9:106: E262 inline comment should start with '# '
emailbomber.py:10:78: E261 at least two spaces before inline comment
emailbomber.py:10:79: E262 inline comment should start with '# '
emailbomber.py:10:80: E501 line too long (163 > 79 characters)
emailbomber.py:11:6: E261 at least two spaces before inline comment
emailbomber.py:11:7: E262 inline comment should start with '# '
emailbomber.py:12:62: E261 at least two spaces before inline comment
emailbomber.py:12:63: E262 inline comment should start with '# '
emailbomber.py:12:80: E501 line too long (86 > 79 characters)
emailbomber.py:13:74: E261 at least two spaces before inline comment
emailbomber.py:13:75: E262 inline comment should start with '# '
emailbomber.py:13:80: E501 line too long (105 > 79 characters)
emailbomber.py:15:80: E501 line too long (200 > 79 characters)
emailbomber.py:15:150: E261 at least two spaces before inline comment
emailbomber.py:15:151: E262 inline comment should start with '# '
emailbomber.py:16:74: E261 at least two spaces before inline comment
emailbomber.py:16:75: E262 inline comment should start with '# '
emailbomber.py:16:80: E501 line too long (128 > 79 characters)
emailbomber.py:17:55: E261 at least two spaces before inline comment
emailbomber.py:17:56: E262 inline comment should start with '# '
emailbomber.py:17:80: E501 line too long (104 > 79 characters)
emailbomber.py:20:6: E275 missing whitespace after keyword
emailbomber.py:22:80: E501 line too long (137 > 79 characters)
emailbomber.py:22:85: E261 at least two spaces before inline comment
emailbomber.py:22:86: E262 inline comment should start with '# '
emailbomber.py:28:1: W293 blank line contains whitespace
emailbomber.py:34:1: E265 block comment should start with '# '
emailbomber.py:35:39: E231 missing whitespace after ','
emailbomber.py:35:44: E261 at least two spaces before inline comment
emailbomber.py:35:45: E262 inline comment should start with '# '
emailbomber.py:36:18: E261 at least two spaces before inline comment
emailbomber.py:36:19: E262 inline comment should start with '# '
emailbomber.py:38:5: E261 at least two spaces before inline comment
emailbomber.py:38:6: E262 inline comment should start with '# '
emailbomber.py:39:23: E251 unexpected spaces around keyword / parameter equals
emailbomber.py:39:41: E251 unexpected spaces around keyword / parameter equals
emailbomber.py:39:55: E261 at least two spaces before inline comment
emailbomber.py:39:56: E262 inline comment should start with '# '
emailbomber.py:39:80: E501 line too long (81 > 79 characters)
emailbomber.py:40:49: E261 at least two spaces before inline comment
emailbomber.py:40:50: E262 inline comment should start with '# '
emailbomber.py:40:80: E501 line too long (89 > 79 characters)
emailbomber.py:41:80: E501 line too long (187 > 79 characters)
emailbomber.py:44:11: E261 at least two spaces before inline comment
emailbomber.py:44:12: E262 inline comment should start with '# '
emailbomber.py:47:44: E261 at least two spaces before inline comment
emailbomber.py:47:45: E262 inline comment should start with '# '
emailbomber.py:47:80: E501 line too long (116 > 79 characters)
emailbomber.py:48:9: E265 block comment should start with '# '
emailbomber.py:48:80: E501 line too long (94 > 79 characters)
emailbomber.py:49:34: E261 at least two spaces before inline comment
emailbomber.py:49:35: E262 inline comment should start with '# '
emailbomber.py:50:64: E261 at least two spaces before inline comment
emailbomber.py:50:65: E262 inline comment should start with '# '
emailbomber.py:50:80: E501 line too long (131 > 79 characters)
emailbomber.py:51:76: E261 at least two spaces before inline comment
emailbomber.py:51:77: E262 inline comment should start with '# '
emailbomber.py:51:80: E501 line too long (148 > 79 characters)
emailbomber.py:52:80: E501 line too long (209 > 79 characters)
emailbomber.py:53:16: E261 at least two spaces before inline comment
emailbomber.py:53:17: E262 inline comment should start with '# '
emailbomber.py:58:23: E261 at least two spaces before inline comment
emailbomber.py:58:24: E262 inline comment should start with '# '
emailbomber.py:59:47: E261 at least two spaces before inline comment
emailbomber.py:59:48: E262 inline comment should start with '# '
emailbomber.py:59:80: E501 line too long (87 > 79 characters)
emailbomber.py:60:13: W291 trailing whitespace
emailbomber.py:61:56: W291 trailing whitespace
emailbomber.py:62:39: E251 unexpected spaces around keyword / parameter equals
emailbomber.py:62:80: E501 line too long (110 > 79 characters)
emailbomber.py:62:85: E261 at least two spaces before inline comment
emailbomber.py:62:86: E262 inline comment should start with '# '
emailbomber.py:69:66: E261 at least two spaces before inline comment
emailbomber.py:69:67: E262 inline comment should start with '# '
emailbomber.py:69:80: E501 line too long (89 > 79 characters)
emailbomber.py:70:15: E261 at least two spaces before inline comment
emailbomber.py:70:16: E262 inline comment should start with '# '
emailbomber.py:70:31: W292 no newline at end of file
